country_name,matched_fishing,matched_unknown_likelyfish,matched_nonfishing,matched_unknown_likelynonfish,unmatched_fishing,unmatched_nonfishing
Indonesia,65.671971528708482,32.4830039298572,1745.6849209311313,124.71832482140927,1833.2869923519581,2081.7111789838941
Turks and Caicos Islands,0.0,0.026548742315405809,4.6875767763756482,0.25827116788782539,1.4425183294162081,1.7156022646710838
Mauritania,30.583894954078293,5.9638029942919646,52.453753156184142,1.9385128860789327,127.0773340571191,13.664016183397257
Australia,47.610072665545424,2.2350219645231277,454.51212624237888,18.757288065204474,233.70325561693798,91.724759143323851
Cameroon,5.9034042300714065,1.3609700709655979,33.485215448574579,1.2422321466085395,11.55297958168387,5.4288584795848012
Samoa,1.253946604700195,0.14053910297801961,0.80640800968609394,0.098234566444167157,3.4721330707504623,1.305604486366519
Vanuatu,7.3154768804449342,0.88433972284667783,2.0080708773328335,0.16939805401597102,3.231742098530209,1.7302059839431565
Saint Martin,0.0,0.011244742424242424,1.1715938795850067,0.08303135185185187,0.051893933607394117,0.20053001338486123
Palau,0.0,0.0,0.00684931506849315,0.0,0.017594715753424656,0.002953229452054795
South Africa,56.359627163929645,4.3618867682866025,271.66509780517458,8.4109216643776747,50.322069646940705,15.117132708375633
Venezuela,3.4625895621178406,1.3718228032214539,82.774272197075675,4.4204854610714648,64.133989367238442,53.807593889769521
Haiti,0.007340495638451,0.08303819708064325,15.707952971656054,0.8203281803363871,3.1866712222296703,2.7289741039403519
Saint Pierre and Miquelon,0.532901264439505,0.028686313129232758,1.4748923380562711,0.0031161599807349723,0.70495853650583307,0.14131065950374574
Cuba,0.0341246362924083,0.36066817916278848,65.216405622774758,3.3199305860818145,15.567565733435814,17.953668859451422
Jamaica,0.018056092632808177,0.12318523669776557,41.194344186282372,1.7297037778736761,13.611948560279492,7.2897002645884319
Guam,0.25674044265593565,0.015130346581411179,1.1902754428723485,0.11846681989354747,0.54376251669662,0.67155780806941412
Montserrat,0.013286726784052967,0.018848191914098884,1.6691460903738109,0.05275424685955965,0.43993940240437546,0.31443653641848468
American Samoa,0.82269503546099354,0.023407652482269507,0.29126370083816905,0.012053340425531914,0.64372493359123162,0.19363805802707929
United Kingdom,246.16254482616114,8.7087807633195737,605.07388214135017,17.593953285561884,184.58869667603165,50.516079173825233
Ukraine,4.5756012431992641,0.808823108113579,170.04042872818272,3.8478558942972207,30.974270083637848,21.292783184029474
Gabon,3.2626927814985045,0.4780709113254879,34.200610733770162,1.0208487791952556,27.506943244149078,13.039147754768385
Guinea-Bissau,21.2122002371043,4.4595646848533192,15.643211807070465,0.86382379956517008,30.679362782234811,7.0725722922982408
Georgia,2.0571367086063064,0.0567136371799399,5.9834465139082633,0.18862555084948057,5.3454909014759409,1.6636010035764248
French Polynesia,0.65920852359208548,0.046653027397260287,3.0890410958904111,0.2136209452054795,1.6570286298958135,1.2061780071869577
Saint Lucia,0.038881255635904659,0.041887959393886204,4.9243547108414054,0.20149518658620105,0.87989803024767066,0.65903606447933738
Nigeria,28.794428447160691,7.510058832717851,242.64450412972772,9.7625650873364034,86.667226144179992,43.47337018546736
Barbados,0.15665401187799474,0.070003397967516728,9.0947934787056131,0.44278486070473694,3.8820992221754378,1.433851817183627
Jordan,0.0011299435028248588,0.0025752818809203284,1.7307399505777818,0.033634582723247985,0.32899707668706846,0.14920325243097798
Dominica,0.051798109527269542,0.01736874220681078,2.9387677171581661,0.12416554128332362,1.0278693851403449,0.64792578487538011
Lithuania,1.5327891640315932,0.065349361945750112,10.099799627496349,0.25672188300263887,1.1195666007506824,0.5645124859413867
Republic of the Congo,3.6366753064078465,1.7788597007378864,33.93494882832362,1.2186120297797784,31.736731987182171,9.2311500146066034
Fiji,4.3943193381550634,0.46907551554051763,6.362966821468337,0.49063017190242808,4.4285587399142541,3.7671831844773109
France,173.53985735475325,4.8558029158796243,297.3066424540944,10.905333475882012,115.4549662592716,23.3994091784585
The Bahamas,0.14796002666057614,0.602165762026296,111.5871158436978,4.7488972768138433,32.917528796420918,27.186807171484961
Thailand,10.186733152558443,5.545706346747548,187.66836056174984,12.935112852097403,939.802077163184,466.17653638723306
Equatorial Guinea,0.86132976073579093,0.51675006317749284,22.716503664836555,1.0047954948528528,8.61244837159153,3.9556926742796619
Bonaire,0.013653869890377056,0.019927052720434012,7.750555428363473,0.27244243150852215,0.56652800855886376,0.6597003165713845
Tonga,1.2879913704282318,0.18706401278476126,1.5021538610065994,0.083714465271797572,1.6480560769943711,0.51363760826206006
Japan,129.80667409191366,12.348235494995365,1746.9271696561511,34.720562065392627,867.74311635562947,225.25897220409925
Guatemala,0.07157468614074658,0.057920286734448524,16.540611388594385,0.71749132421726913,10.788004097892925,2.1757012640080728
Saudi Arabia,5.5963359731676841,3.4462932840989189,260.75948444858039,9.7164905675895152,74.35623962229424,58.681340588518211
Denmark,75.4541914549268,3.7048406030153584,246.09490598685582,9.7022224585691745,36.525650553815353,9.9897391025808986
Turkey,65.978904924272342,3.2243011635616168,415.29901186764192,10.054608802732258,163.81564916481267,50.519165830717085
Madagascar,11.087016066962359,0.62836959977288331,27.180346301717815,1.3190963258405208,23.498079644689991,19.349493410996047
South Korea,282.83975551824608,61.951630244698848,601.71114883843484,35.912021173745742,539.27818448177766,105.53090918610164
Malta,7.393755135868493,0.23140826636134237,58.669747453149235,1.5181961469607086,9.646112617558197,2.8026385363499151
Guadeloupe,0.03630296911595645,0.088343865826830639,7.4103815564810986,0.27996247841427147,2.3437118497303966,1.6771886360814094
