"","Alpha.3.code","exposure_scaled","sensitivity_scaled","adaptive_capacity_scaled","adaptive_capacity_inverse_scaled","index_mean_scaled","crit_1_1","crit_1_1_A","crit_1_1_B","crit_1_2","crit_2_1","crit_2_1_A","crit_2_1_B","crit_2_1_C","crit_2_1_D","crit_2_2","crit_2_2_A","crit_2_2_B","crit_2_2_C","crit_3_1","crit_3_2","crit_3_2_A","crit_3_2_B","crit_3_2_C","crit_3_2_D","crit_3_2_E","crit_3_2_F","crit_3_1_inverse","crit_3_2_inverse","crit_3_2_A_inverse","crit_3_2_B_inverse","crit_3_2_C_inverse","crit_3_2_D_inverse","crit_3_2_E_inverse","crit_3_2_F_inverse","cfa_vulnerability_score","cfa_mean_vulnerability","SIFI_Index","Continent","country"
"1","AGO",0.366679294813315,0.833031456911924,0.274256618393354,0.672801021150913,0.81136841576495,0.116333284522963,0.0348753707067336,0.142385207577851,0.532492086984109,0.289877071175299,0.00698648875815528,0.0197012113168159,0.757823184220409,0.590832293555343,0.967324408989868,0.681023277919643,1,0.695397773044388,0.265473887814313,0.32275295517994,0.129418593336371,0.288581820575858,0.590553277326607,0.30661074619596,0.299842736939488,0.321510556705356,0.734526112185687,0.67724704482006,0.870581406663629,0.711418179424142,0.409446722673393,0.69338925380404,0.700157263060512,0.678489443294644,0.11848598833781,0.11848598833781,0.866493752598307,"Africa","Angola"
"2","ALB",0.310300975275909,0.120620103283428,0.54399552812453,0.305428414519151,0.303374923856963,0.22754264670899,0.0558560005585795,0.282451581710111,0.328173456122133,0.0615762472886857,0.000465534478219093,0.00123943742003304,0.585087195051531,0,0.170547880718557,0.406312749197135,0.224220080964337,0,0.69100580270793,0.545234111677502,0.292735846062612,0.571017165064373,0.744853078073881,0.601037124851526,0.45219902268756,0.609562433325062,0.30899419729207,0.454765888322498,0.707264153937388,0.428982834935627,0.255146921926119,0.398962875148474,0.54780097731244,0.390437566674938,-0.141814479461256,-0.141814479461256,0.240435854168226,"Europe","Albania"
"3","ARE",0.374352884918269,0.491437847677896,0.714006450786316,0.170570924594343,0.455555988119723,0.197637530354861,0.0112299833952433,0.257254513441345,0.463860839720698,0.210055702046824,0.00437655557330728,0.00830800810880705,0.738413504771027,0.348542112596232,0.555632173395129,0.635584171674528,0.435134750815136,0.40360649787118,0.835589941972921,0.699944925180552,0.731660803316943,0.889669374578994,0.824329299129529,0.750351421331109,0.73068883264994,0.272969820076799,0.164410058027079,0.300055074819448,0.268339196683057,0.110330625421006,0.175670700870471,0.249648578668891,0.26931116735006,0.727030179923201,-0.0555722997040564,-0.0555722997040564,0.447859983180934,"Asia","United Arab Emirates"
"4","ARG",0.16018770100722,0.395420946648793,0.555682136611558,0.254858341458235,0.342469175936707,0.0235001495004098,0.0294827241664681,0.0215867985739191,0.284302618907246,0.15338448136948,0.000609617865203273,0.00576585383807504,0.651853074587363,0.245669247178456,0.474146204173661,0.430613744764131,0.4239898683801,0.44117062156221,0.795454545454545,0.548636581724103,0.407720763444591,0.549523571859238,0.66515020539272,0.480470407410726,0.487567575604873,0.701386966632471,0.204545454545455,0.451363418275897,0.592279236555409,0.450476428140762,0.33484979460728,0.519529592589274,0.512432424395127,0.298613033367529,-0.0762562059767009,-0.0762562059767009,0.398112385714561,"Americas","Argentina"
"5","AUS",0.180079541991386,0.505290146511135,0.944844544839714,0.031856616608842,0.293116259086479,0.0244558394138857,0.00620726888159704,0.0302921091278562,0.316198471605379,0.246953878026611,0.0151163229768916,0.00284918865115696,0.608254135492987,0.600866828137563,0.538665849619767,0.596197232965221,0.527863513151535,0.31308824675319,0.959864603481625,0.925368460507015,0.903349807365815,0.929656081499262,0.875679877851521,0.979562377516019,0.941836132773794,0.922126486035678,0.0401353965183751,0.074631539492985,0.096650192634185,0.070343918500738,0.124320122148479,0.020437622483981,0.058163867226206,0.077873513964322,-0.0530247835685908,-0.0530247835685908,0.453987104701198,"Oceania","Australia"
"6","BEL",0.150028394310858,0,0.850055260781248,0.0737975724904721,0,0.291024587991595,0.698908470531673,0.160574898999608,0,0.0585657821708991,0.0000128508235988539,0.0000955648544750665,0.576285605213806,0,0,0,0.139756597896386,0.117073537137527,0.941489361702128,0.833206380997887,0.825734321932652,0.826848438801367,0.75151156101548,0.819791113837445,0.861130142675163,0.914222707725211,0.058510638297872,0.166793619002113,0.174265678067348,0.173151561198633,0.24848843898452,0.180208886162555,0.138869857324837,0.085777292274789,-0.24178217489741,-0.24178217489741,0,"Europe","Belgium"
"7","BEN",0.434805256952953,0.543658106749502,0.406416976488711,0.63447766301896,0.70987871920962,0.0970010300998664,0.00128253526858682,0.127613781463717,0.664334940600547,0.209821827751405,0.000936947871438987,0.00354784522238684,0.681910742642881,0.412436843531942,0.631004946903035,0.517464007447153,0.346004466735064,0.776012962661913,0.17311411992263,0.472828573330045,0.329060104121341,0.406239469554805,0.631621675985227,0.45840433670832,0.386466966509636,0.625178887100942,0.82688588007737,0.527171426669955,0.670939895878659,0.593760530445195,0.368378324014773,0.54159566329168,0.613533033490364,0.374821112899058,0.0979821185108103,0.0979821185108103,0.817179167180489,"Africa","Benin"
"8","BGD",0.677253983063992,0.746952033124014,0.303010977795035,0.627006599141604,0.877358852670085,0.394272651570946,0.000744400957086907,0.520131113009649,0.767469428514068,0.409485146353503,0.10074640676524,0.0937768877045161,0.795985947172433,0.797960209640343,0.723858021668866,0.554879270586815,0.310961557725653,0.977099274477408,0.307543520309478,0.349892716845864,0.192240628410506,0.362087492765897,0.433544352547481,0.346481145795281,0.394583125109049,0.370419556446971,0.692456479690522,0.650107283154136,0.807759371589494,0.637912507234103,0.566455647452519,0.653518854204719,0.605416874890951,0.629580443553029,0.105087271250439,0.105087271250439,0.834268022340097,"Asia","Bangladesh"
"9","BGR",0.288295963655181,0.609766834867291,0.599796583818333,0.267310184584237,0.516423764266582,0.0699935519225106,0.123559048346916,0.0528621999657964,0.449381089225768,0.0721056721423443,0.000824945473095368,0.00146575824093514,0.620870095075126,0,0.86384389867243,0.712221144663013,0.75887742159865,0.67857709545524,0.717601547388782,0.599460143912264,0.389868168397607,0.609039366831152,0.75311425363415,0.668782707387062,0.536458939565123,0.639497427658491,0.282398452611218,0.400539856087736,0.610131831602393,0.390960633168848,0.24688574636585,0.331217292612938,0.463541060434877,0.360502572341509,-0.0246777045373522,-0.0246777045373522,0.522165671090207,"Europe","Bulgaria"
"10","BHR",0.373196506092672,0.677743028320984,0.500228738235379,0.284992098796296,0.593192257600079,0.0685963964222751,0.08184246733002,0.0643600293966392,0.590992204301393,0.208352540540779,0.00172256616595488,0.00326405634710447,0.777104141870959,0.311666697083116,0.825406892568277,0.72854304000714,0.7268110779174,0.610098786445646,0.79110251450677,0.488111398362714,0.390982034360724,0.586771691355601,0.475806352935688,0.638797755829261,0.639212146683757,0.197098409011254,0.20889748549323,0.511888601637286,0.609017965639276,0.413228308644399,0.524193647064312,0.361202244170739,0.360787853316243,0.802901590988746,0.00724071177958641,0.00724071177958641,0.598933787604021,"Asia","Bahrain"
"11","BHS",0.0776413895278767,0.544847398690881,0.688234615714389,0.214272883943735,0.356091331134309,0.0085871867035192,0.000102183902236179,0.0113008658261914,0.162889654347621,0.123893973016286,0.00119726458108105,0.00199782202530984,0.737187117715115,0.0616553777913547,0.718644054874086,0.751641753331349,0.606327148768881,0.473546412323437,0.74274661508704,0.691652105393236,0.726282415957124,0.673731596454824,0.852691782398594,0.571031610918506,0.565862810573635,0.760312416056732,0.25725338491296,0.308347894606764,0.273717584042876,0.326268403545176,0.147308217601406,0.428968389081494,0.434137189426365,0.239687583943268,-0.0527295758224345,-0.0527295758224345,0.45469711933437,"Americas","Bahamas"
"12","BLZ",0.149175098689248,0.524509312066381,0.452690449567498,0.422504480156013,0.484097809395988,0.00970479226320026,0,0.0128085852461013,0.279910570835841,0.180482081928189,0.000372743100173657,0.00185931755716861,0.817017665600173,0.178243175410457,0.63279179698587,0.710287745263477,0.418309411085846,0.514799607316407,0.527562862669245,0.477647614653181,0.393367424954763,0.399485994462508,0.664212876910936,0.384836615272216,0.35190031812721,0.672082458191456,0.472437137330755,0.522352385346819,0.606632575045237,0.600514005537492,0.335787123089064,0.615163384727784,0.64809968187279,0.327917541808544,-0.00464871013323276,-0.00464871013323276,0.570338116765527,"Americas","Belize"
"13","BRA",0.267202758680249,0.510593837854901,0.475938009823136,0.370904418718638,0.508698945052885,0.0434753069430927,0.0136915980515881,0.0530007521206008,0.441063728863228,0.357232257815496,0.0598190499438923,0.130515440019655,0.796175802352922,0.6214776899215,0.436018866848405,0.49036900340833,0.357811878267482,0.364049138605599,0.614603481624758,0.489333375754377,0.31953364928015,0.434933642311108,0.582194368018507,0.464340981617926,0.478823712267843,0.656173901030727,0.385396518375242,0.510666624245623,0.68046635071985,0.565066357688892,0.417805631981493,0.535659018382074,0.521176287732157,0.343826098969273,0.0199936840430842,0.0199936840430842,0.629606414055794,"Americas","Brazil"
"14","BRB",0.192977950330837,0.463438324207894,0.729686892197625,0.21739316581175,0.375071440811221,0.00555588842380355,0.000167802729162252,0.00727910950023103,0.356400252402099,0.0986054074361324,0.000503054155947587,0.000503329757184556,0.713684496541005,0,0.626794399554737,0.660406084684437,0.628737091396642,0.341112154373505,0.68568665377176,0.741647273373916,0.799792900874899,0.646579730764306,0.863544871916193,0.660421172583806,0.635076841440315,0.844468122663979,0.31431334622824,0.258352726626084,0.200207099125101,0.353420269235694,0.136455128083807,0.339578827416194,0.364923158559685,0.155531877336021,-0.0352876192563094,-0.0352876192563094,0.49664738843925,"Americas","Barbados"
