,ISO_TER1,flag_gfw,hours,fishing_hours
334,ESP,GRL,18.2703,5.3521
335,ESP,IRL,373.0948,10.2665
336,ESP,ISL,5.8774,0
337,ESP,ITA,2067.0802,35.107
338,ESP,MAR,2119.3566,0.9361
339,ESP,MLT,4558.2296,587.8385
340,ESP,MRT,15.0124,0
341,ESP,NAM,5.9232,0
342,ESP,NLD,14.4744,0
343,ESP,NOR,47.5491,0
344,ESP,PRT,19424.4496,3876.6532
345,ESP,RUS,26.4356,0.3341
346,ESP,SEN,14.3489,0
347,ESP,SLV,169.9952,3.8415
348,ESP,TUR,39.5641,0
349,EST,DNK,5.445,4.584
350,EST,EST,77160.6371,22366.1402
351,EST,FIN,17294.6126,4522.7644
352,EST,LTU,532.8944,15.4177
353,EST,LVA,173.3789,64.7971
354,EST,NOR,3.9407,0
355,EST,POL,0.2991,0.2991
356,EST,RUS,2930.7874,980.6555
357,EST,SWE,0.258,0.258
358,FIN,CHE,67.4391,0
359,FIN,DNK,59.4146,59.4146
360,FIN,EST,188.6103,4.487
361,FIN,FIN,85690.3383,16446.8953
362,FIN,RUS,402.0512,226.5865
363,FIN,SWE,500.9911,341.6223
364,FJI,AUS,213.6809,51.7653
365,FJI,CAN,209.4154,5.8649
366,FJI,CHN,87505.8004,3591.2482
367,FJI,COK,1823.9146,6.9085
368,FJI,FJI,49378.4207,2441.4595
369,FJI,JPN,525.3121,0
370,FJI,KIR,1573.4802,11.1016
371,FJI,KOR,1772.3395,10.5212
372,FJI,NRU,172.2815,0
373,FJI,TUV,175.2936,0
374,FJI,TWN,22709.6923,248.5048
375,FJI,VUT,9865.6388,104.6902
376,FLK,CHL,22.0385,0.7283
377,FLK,CHN,3.7783,0.4305
378,FLK,ESP,3552.6088,1674.6437
379,FLK,FLK,13454.1554,7358.0533
380,FLK,GBR,1108.3859,700.5523
381,FLK,KOR,6236.8535,440.3672
382,FLK,NOR,8.0003,0
383,FLK,NZL,12.6776,0
384,FLK,SHN,22.514,0
385,FLK,TWN,3788.586,58.0212
386,FLK,URY,32.878,0
387,FLK,VUT,477.2574,11.5846
388,FRA,BEL,21267.4663,3006.1957
389,FRA,DEU,153.5391,18.9558
390,FRA,DNK,27.4984,0
391,FRA,ESP,11949.0225,5759.3174
392,FRA,FRA,1747319.457,451235.9579
393,FRA,GBR,31295.2784,15325.7933
394,FRA,IRL,714.0591,240.6428
395,FRA,ITA,5179.5107,4280.3016
396,FRA,LBY,3.844,0
397,FRA,LTU,2.0616,0
398,FRA,NCL,174.0413,0
399,FRA,NLD,37185.8181,4727.9247
400,FRA,NOR,21.9405,0
401,FRA,POL,6.7749,0
402,FRA,PRT,4.0624,0
403,FRA,RUS,17.2032,1.2677
404,FRA,SWE,0.1808,0
405,FRA,USA,5.0959,0
406,FRO,DEU,5.8649,0
407,FRO,DNK,211.2962,4.9944
408,FRO,ESP,4.3145,0
409,FRO,FRO,260841.5741,46087.9456
410,FRO,GBR,5.3923,1.9167
411,FRO,GRL,7222.9619,106.1224
412,FRO,ISL,1912.364,3.3777
413,FRO,LTU,24.0911,0
414,FRO,NOR,301.7249,4.0244
415,FRO,RUS,19623.2971,359.2445
416,FRO,SWE,6.679,0
417,FSM,CHN,6802.5261,461.3189
418,FSM,FSM,11287.8075,167.2387
419,FSM,JPN,534.8029,28.5848
420,FSM,KIR,173.2782,4.3208
421,FSM,KOR,2604.3774,108.5025
422,FSM,MHL,349.1399,4.8464
423,FSM,NRU,649.3028,0
424,FSM,PHL,5.5562,0
425,FSM,PNG,6494.9471,147.8172
426,FSM,SLB,291.5852,4.326
427,FSM,TUV,95.4561,1.5619
428,FSM,TWN,6090.4286,324.1755
429,FSM,USA,10286.502,144.469
430,FSM,VUT,220.4395,1.3246
431,GAB,CHN,416.8216,83.187
432,GAB,NGA,563.5382,44.0739
433,GAB,SLV,369.4932,0
434,GBR,BEL,37745.5912,18410.9794
435,GBR,CAN,17.9835,0
436,GBR,CHE,392.4787,68.7405
437,GBR,DEU,2232.1909,582.2656
438,GBR,DNK,3123.933,254.0778
439,GBR,ESP,6513.6521,99.2658
440,GBR,FRA,45076.4033,23091.2475
441,GBR,FRO,673.3922,118.8462
442,GBR,GBR,1605992.574,521911.0604
443,GBR,GRL,85.5744,0
444,GBR,HRV,520.0114,119.3697
445,GBR,IRL,24284.8532,10879.6116
446,GBR,ISL,40.3365,0
447,GBR,JPN,5.038,0
448,GBR,LIE,138.8872,67.0213
449,GBR,LTU,17.7735,0
450,GBR,NLD,6952.8138,3623.5672
451,GBR,NOR,22275.2213,1542.7546
452,GBR,POL,122.5163,0
453,GBR,PRT,60.2103,0
454,GBR,RUS,141.5067,0
455,GBR,SWE,277.2877,56.7242
456,GBR,USA,8.6068,0
457,GEO,GEO,64891.5676,8796.8478
458,GEO,RUS,116.419,0
459,GEO,TUR,17647.2141,946.2902
460,GGY,BEL,314.038,4.2258
461,GGY,DEU,39.3617,11.4591
462,GGY,DNK,0.8835,0
463,GGY,FRA,10303.393,7004.718
464,GGY,GBR,46345.8486,8963.0824
465,GGY,IRL,23.4812,2.084
466,GGY,NLD,203.1098,2.4322
467,GGY,NOR,7.0172,0
468,GGY,POL,3.8413,0
469,GGY,PRT,2.2502,0
470,GGY,RUS,5.1909,0
471,GGY,USA,1.4618,0
472,GHA,BLZ,4529.0167,557.9991
473,GHA,CHN,1108.3223,160.3101
474,GHA,ESP,233.984,0
475,GHA,FRA,737.8165,1.1299
476,GHA,GHA,87413.6222,17270.4706
477,GHA,JPN,101.5062,2.8913
478,GHA,NGA,8.497,1.503
479,GHA,TWN,4.4685,0
480,GIB,DEU,3.7221,1.2166
481,GIB,ESP,804.0502,619.6828
482,GIB,FRA,1.6548,0
483,GIB,MAR,9.8771,0
484,GIB,NOR,1.6454,0
485,GIB,TUR,3.1314,0
486,GIN,CHN,3618.537,238.2703
487,GIN,ESP,6892.9103,71.5669
488,GIN,GHA,76.3402,0
489,GIN,GIN,9543.1236,594.8158
490,GIN,ISL,711.9478,1.1933
491,GIN,ITA,1354.1248,99.6539
492,GLP,CAN,82.6738,29.2904
493,GLP,FRA,864.2173,229.441
494,GLP,RUS,3.0127,0
495,GLP,VCT,41.5339,0
496,GMB,CHN,71.3282,57.9672
497,GMB,CIV,3.7193,0
498,GMB,ESP,36.4965,21.3964
499,GMB,GMB,43.0412,24.2789
500,GMB,GNB,8.1579,0
501,GMB,SEN,1203.0489,1113.8028
502,GNB,CHN,2493.3708,153.7321
503,GNB,ESP,1516.7166,219.995
504,GNB,GEO,409.921,0.4996
505,GNB,GIN,1038.7014,162.12
506,GNB,GNB,7833.8988,669.2958
507,GNB,ITA,43.149,0
508,GNB,KOR,363.0757,42.3837
509,GNB,RUS,1026.8141,5.6526
510,GNB,SEN,577.3863,1.7271
511,GNB,TUR,1523.0824,4.2143
512,GNQ,BLZ,2.4375,0
513,GNQ,CHN,7274.9395,3831.8008
514,GNQ,CMR,428.8088,377.3722
515,GNQ,CUW,3.6334,0
516,GNQ,SLV,1.761,0
517,GRC,ALB,1452,1119.6815
518,GRC,BLZ,26.4321,0
519,GRC,CPV,71.527,0.1
520,GRC,CYP,2982.0894,833.0443
521,GRC,ESP,795.5848,0
522,GRC,FRA,46.5794,0
523,GRC,GRC,527287.9153,250375.1846
524,GRC,HRV,314.1652,10.634
525,GRC,ITA,61419.7284,50465.0748
526,GRC,MAR,91.9033,0
527,GRC,MLT,396.698,269.9242
528,GRC,SVN,73.1492,9.6665
529,GRC,TUR,71064.4082,46707.3383
530,GRD,CAN,15.9734,0.708
531,GRD,PRT,179.8891,1.7169
532,GRD,VCT,108.3365,0
533,GRD,YEM,5454.5251,24.2168
534,GRL,CAN,1689.5399,7.8631
535,GRL,DEU,30.7521,0
536,GRL,DNK,34555.7884,10365.2017
537,GRL,FRO,2267.5657,231.6127
538,GRL,GRL,139145.5995,50952.8137
539,GRL,ISL,6.8616,0
540,GRL,NOR,371.4231,50.9868
541,GRL,RUS,130.791,10.5089
542,GTM,BMU,24.0814,1.6205
543,GTM,MEX,61.1094,0
544,GTM,PAN,222.1367,0
545,GTM,USA,4.7154,0
546,GTM,VEN,666.139,0
547,GUF,FRA,20920.3092,14751.5487
548,GUF,VEN,182.2547,36.1138
549,GUM,FSM,65.9859,0
550,GUM,JPN,10061.4917,51.759
551,GUM,KOR,0.128,0
552,GUM,TWN,6.248,0
553,GUM,VUT,1.1954,0
554,GUY,TWN,33.1418,0
555,GUY,VEN,0.14,0
556,HND,HND,2579.0298,232.9015
557,HRV,ALB,17.3357,1.6799
558,HRV,CYP,8.1156,7.8481
559,HRV,DEU,718.5859,74.6474
560,HRV,HRV,524827.3794,188939.5037
561,HRV,ITA,5073.9578,4358.6155
562,HRV,MNE,10203.7766,1058.8923
563,HRV,NOR,506.3768,0
564,HRV,SVN,3130.0412,2202.7675
565,IDN,AUS,25.1049,0
566,IDN,CHN,5791.4793,51.5879
567,IDN,CIV,14.2786,0
568,IDN,COK,296.7277,20.4301
569,IDN,GNQ,2282.4194,788.2222
570,IDN,IDN,10667.4812,4339.4031
571,IDN,JPN,1024.9313,24.0266
572,IDN,KOR,78.8215,0
573,IDN,LBR,13.1074,0.1488
574,IDN,LVA,29.3915,0
575,IDN,MUS,25.4601,0.6083
576,IDN,PCN,118.6599,70.1704
577,IDN,PHL,3.8465,0
578,IDN,PNG,4.6743,0
579,IDN,RUS,108.9715,0
580,IDN,SEN,12.8046,0
581,IDN,SGP,4162.5093,1804.7814
582,IDN,SYC,339.6801,2.0995
583,IDN,TWN,3352.5232,23.186
584,IDN,UNK,26.2199,5.349
585,IDN,VUT,93.2262,0
586,IND,CHN,2611.3859,62.5214
587,IND,IND,121368.0068,15778.0719
588,IND,RUS,397.6708,0
589,IRL,BEL,709.7215,163.8282
590,IRL,DEU,449.3891,25.7195
591,IRL,DNK,1108.8736,77.8268
592,IRL,ESP,13431.5839,269.2901
593,IRL,FRA,23160.6171,869.1745
594,IRL,FRO,226.7416,76.3829
595,IRL,GBR,40061.9236,12762.7574
596,IRL,GRL,5.7088,0
597,IRL,IRL,591181.7824,57844.6454
598,IRL,ISL,772.8801,399.2588
599,IRL,JPN,11.8106,0
600,IRL,LIE,2.9824,0
601,IRL,NAM,277.9076,0
602,IRL,NLD,574.0573,116.7608
603,IRL,NOR,2953.5464,93.5342
604,IRL,POL,6.019,0
605,IRL,PRT,379.0172,0
606,IRL,RUS,133.505,15.0343
607,IRN,CHN,1592.1522,208.5913
608,IRN,IRN,38564.349,3718.0675
609,IRN,JPN,363.6559,103.0577
610,ISL,DEU,254.1323,0
611,ISL,DNK,1110.7853,51.1746
612,ISL,ESP,9.1024,0
613,ISL,EST,8.9823,0
614,ISL,FRO,1387.8666,377.6123
615,ISL,GBR,42.1755,0
616,ISL,GRL,2658.9131,54.701
617,ISL,ISL,1412599.711,264595.7282
618,ISL,LTU,99.8854,0
619,ISL,NOR,2897.6943,16.5291
620,ISL,POL,11.2711,0
621,ISL,PRT,51.6317,4.2014
622,ISL,RUS,441.0046,3.7988
623,ISR,GRC,34.6501,1.8629
624,ISR,ISR,29255.886,19170.2212
625,ISR,TUR,136.2936,24.787
626,ITA,ALB,34.2568,0
627,ITA,CHN,20.439,0
628,ITA,CPV,119.1851,19.3777
629,ITA,CYP,259.1015,65.3231
630,ITA,DEU,84.1518,0.9827
631,ITA,DZA,1403.1407,5.2489
632,ITA,ESP,602.382,31.5528
633,ITA,FRA,613.2358,71.759
634,ITA,HRV,1578.8895,1228.2802
635,ITA,ITA,2535634.153,1215471.004
636,ITA,LBY,487.3211,124.4922
637,ITA,MAR,2.8719,0
638,ITA,MLT,4285.5796,355.6103
639,ITA,NOR,61.047,0
640,ITA,PRT,328.6616,62.9109
641,ITA,RUS,6.3443,0
642,ITA,SVN,636.2472,435.3217
643,ITA,TUN,673.6842,247.6581
644,ITA,TUR,209.0414,0
645,JEY,BEL,0.6384,0
646,JEY,FRA,9566.0933,5024.0598
647,JEY,GBR,29477.7935,2035.6104
648,JPN,CHL,369.0212,4.8788
649,JPN,CHN,4465.4467,57.7941
650,JPN,CYP,65.4307,0
651,JPN,FSM,1481.5698,1.0313
652,JPN,JPN,1513165.297,314729.598
653,JPN,KIR,10.4912,0
654,JPN,KOR,7331.2353,3321.2186
655,JPN,LBR,14.4501,0
656,JPN,NRU,15.0218,0.5008
657,JPN,RUS,13843.4208,2758.5127
658,JPN,TUV,20.2114,0
659,JPN,TWN,1851.5458,80.1771
660,JPN,UNK,9.2096,2.619
661,JPN,USA,7.491,0
662,JPN,VUT,170.2705,0.6763
663,KEN,KEN,640.2332,438.0149
664,KEN,KOR,468.7109,192.5026
665,KEN,NAM,84.5246,50.1772
666,KEN,SYC,47.4619,19.5083
667,KIR,CHN,18454.3631,1650.7089
668,KIR,ECU,376.4832,0
669,KIR,ESP,43.4969,0
670,KIR,FSM,1535.0747,16.4086
671,KIR,JPN,2.7725,0
672,KIR,KIR,7921.5532,326.8761
673,KIR,KOR,14693.5817,955.5533
674,KIR,MHL,4383.1072,46.2505
675,KIR,NRU,1639.3379,57.1862
676,KIR,PHL,130.4499,0
677,KIR,PNG,1018.3816,7.0306
678,KIR,SLB,1128.0945,30.9303
679,KIR,TUV,518.0777,17.0213
680,KIR,TWN,6264.3591,365.7992
681,KIR,USA,1476.5345,23.9295
682,KIR,VUT,1830.0704,90.0659
683,KNA,CAN,0.6577,0
684,KNA,KNA,2085.1355,228.3031
685,KNA,VCT,175.0881,0
686,KOR,CHN,28347.5492,972.4713
687,KOR,CYP,3932.8614,1.0108
688,KOR,DNK,2.5775,0
689,KOR,JPN,1213.8728,884.1121
690,KOR,KIR,1267.4155,9.9111
691,KOR,KOR,3910224.597,1017250.457
692,KOR,LBR,1374.1416,1.5144
693,KOR,LVA,4014.2475,87.5921
694,KOR,NRU,222.2013,6.914
695,KOR,PCN,37.4599,0
696,KOR,RUS,273774.4826,1982.6428
697,KOR,SEN,752.4172,0.5536
698,KOR,TUV,364.1673,43.8301
699,KOR,TWN,1521.6971,26.0986
700,KOR,UNK,31.643,0
701,KOR,USA,1109.7474,0
702,KOR,VUT,2694.4269,33.6933
703,LBR,CHN,8109.6831,7169.4244
704,LBR,CIV,141.7216,0
705,LBR,ESP,9.8164,0
706,LBR,NGA,23.0874,3.8336
707,LBR,SEN,5.5742,0
708,LBR,TUR,104.6989,37.7477
709,LBY,ITA,1.361,0
710,LBY,LBY,844.0897,216.6108
711,LCA,CAN,131.769,67.7513
712,LCA,ESP,0.8027,0
713,LCA,FRA,67.3992,0
714,LCA,JPN,5.3415,0
715,LCA,PRT,2.1318,0
716,LCA,VCT,82.5332,0.3327
717,LKA,CHN,1833.8702,242.5337
718,LKA,LKA,23953.3347,729.6679
719,LKA,MLT,249.9095,0.9561
720,LKA,RUS,696.0827,13.5345
721,LKA,SYC,1835.9809,70.3807
722,LKA,TWN,7808.2351,99.7248
723,LKA,UNK,6.7083,0
724,LTU,LTU,4121.5537,1191.7083
725,LTU,LVA,184.374,66.6223
726,LTU,NLD,6.8484,0.2524
727,LTU,NOR,3.5776,0
728,LTU,POL,38.4625,23.9856
729,LTU,RUS,48.3014,17.786
730,LVA,DNK,0.1669,0
