eez,dist_km,area_km2,ais_fishing,dark_fishing,ISO_TER1,GEONAME,SOVEREIGN1,fishing_per_km2
8463,5,166460.87589242787,22.180968774747026,51.3655678351525,,United States Exclusive Economic Zone (Alaska),United States,0.00044182476041654104
8484,5,29538.2149876736,3.806086337260597,102.78012726979703,VNM,Vietnamese Exclusive Economic Zone,Vietnam,0.00360841755845898
8361,5,4829.5574757683235,0.3359721425824625,1.1225775619220468,,Portuguese Exclusive Economic Zone (Azores),Portugal,0.0003020048341535622
8389,5,15057.467837588461,0.7948521916411824,1.1830962377675842,FLK,Overlapping claim Falkland / Malvinas Islands: UK / Argentina,United Kingdom,0.00013135996375639918
8323,5,236858.33890787035,5.723913436231474,50.86318416388868,AUS,Australian Exclusive Economic Zone,Australia,0.0002389069258065285
8471,5,9517.715684139619,1.0748299319727896,1.9200570833741246,GNB,Guinea Bissau Exclusive Economic Zone,Guinea-Bissau,0.0003146644756722049
5689,5,2240.7591387073967,0.14074533991611085,0.7352586713213656,ROU,Romanian Exclusive economic Zone,Romania,0.0003909407290168669
49002,5,56.910785594086256,0.004479283314669653,0.05611303647797811,,Overlapping claim Ceuta: Spain / Morocco,Spain,0.001064689569123503
8362,5,6677.672034630493,0.07692307692307693,0.16901003846153848,CPV,Cape Verdean Exclusive Economic Zone,Cape Verde,3.682916952333135e-05
8483,5,36797.225594195865,1.8978753664598067,44.51256509557565,MYS,Malaysian Exclusive Economic Zone,Malaysia,0.001261248360782828
8378,5,7854.567910111804,0.08224102441531518,20.49536001917544,DZA,Algerian Exclusive Economic Zone,Algeria,0.002619825976308587
5675,5,10043.034933488338,0.3362687629319959,0.8085753113289813,EST,Estonian Exclusive Economic Zone,Estonia,0.00011399383571230179
8418,5,645.4034573556958,0.0,0.0437972549990168,BRB,Barbados Exclusive Economic Zone,Barbados,6.786027329084974e-05
48957,5,970.6550080951772,0.07142857142857142,0.09279886297786721,GUM,Guam Exclusive Economic Zone,United States,0.00016919238353152902
8472,5,3946.9513843122686,1.0653164774681803,1.4162167080614712,GIN,Guinean Exclusive Economic Zone,Guinea,0.0006287214976583866
33178,5,1323.232715684292,0.009432304758783254,0.19842137783728658,MTQ,Martinican Exclusive Economic Zone,France,0.00015708021735888014
5690,5,410730.4698031207,11.865318953811496,20.31573774017275,RUS,Russian Exclusive economic Zone,Russia,7.835078977561586e-05
26518,5,167.91519582389537,0.0,0.003118975490196078,BES,Saba Exclusive Economic Zone,Netherlands,1.8574706564777913e-05
8482,5,42707.114295836545,0.09398095122759698,59.38250516215497,MMR,Myanmar Exclusive Economic Zone,Myanmar,0.001392659913788201
8322,5,146187.53483440325,0.2872448195962906,50.97496073054039,PHL,Philippines Exclusive Economic Zone,Philippines,0.00035066057860682124
8409,5,8378.323300201739,0.01,0.6764601339872919,DOM,Dominican Republic Exclusive Economic Zone,Dominican Republic,8.19328771868666e-05
8444,5,1258.9694342535001,0.042553191489361694,0.024292968085106382,ASM,American Samoa Exclusive Economic Zone,United States,5.309593525922588e-05
8343,5,2445.554932617862,0.2979050646296213,0.11389388674876479,MUS,Mauritian Exclusive Economic Zone,Republic of Mauritius,0.0001683867108793884
26519,5,524.4281071162005,0.0069324298346789695,0.0817957615245967,ABW,Aruban Exclusive Economic Zone,Netherlands,0.00016919038120818275
8363,5,1741.9161823012457,0.27259863141051655,0.2676550999373215,,Portuguese Exclusive Economic Zone (Madeira),Portugal,0.00031014909720518744
8417,5,899.0724055573875,0.002457002457002457,0.0918866487081505,DMA,Dominican Exclusive Economic Zone,Dominica,0.00010493443084449224
26517,5,1063.4667270799723,0.019481869201262256,0.18098997989587237,CUW,Curaçaoan Exclusive Economic Zone,Netherlands,0.00018850787146635308
8459,5,4034.065696115028,0.0027247956403269754,0.34832213549391455,JAM,Jamaican Exclusive Economic Zone,Jamaica,8.702062821443741e-05
33179,5,4729.866001429518,0.022340425531914895,0.6391472279701719,PRI,Puerto Rican Exclusive Economic Zone,United States,0.00013985336018021733
8419,5,1063.227917296952,0.010239684466019416,0.1149807534035974,GRD,Grenadian Exclusive Economic Zone,Grenada,0.00011777384306082289
33180,5,1364.6777524167762,0.0,0.09798962670272453,VIR,Virgin Islander Exclusive Economic Zone,United States,7.180422376578632e-05
49000,5,38.208623505824946,0.0033444816053511705,0.23744101045932028,,Overlapping claim Melilla: Spain / Morocco,Spain,0.006301862510905776
8486,5,97805.301548266,316.82654017519644,349.6108001885191,CHN,Chinese Exclusive Economic Zone,China,0.006813918364484924
8392,5,323.3998622939167,0.11594202898550728,0.5017619800724638,TGO,Togolese Exclusive Economic Zone,Togo,0.0019100317627735437
8391,5,3834.2061088765277,0.1081338275067615,0.6197651455008402,LBR,Liberian Exclusive Economic Zone,Liberia,0.0001898434649411389
8421,5,1611.331966157038,0.004932189989661254,0.19781084550988934,VCT,Saint Vincent and the Grenadines Exclusive Economic Zone,Saint Vincent and the Grenadines,0.0001258232566335071
8327,5,32387.133955752754,70.68442949666655,121.27840330149358,KOR,South Korean Exclusive Economic Zone,South Korea,0.005927132455141583
21798,5,893.4541798107081,0.0036496350364963502,0.0419146919088014,PNG,Protected Zone established under the Torres Strait Treaty,Papua New Guinea,5.099794480221834e-05
8420,5,3652.654540943653,0.05827967423195203,4.766481759030851,TTO,Trinidad and Tobago Exclusive Economic Zone,Trinidad and Tobago,0.0013208918005195036
5687,5,3953.2526958516996,2.1013915598460287,2.378460357721825,POL,Polish Exclusive Economic Zone,Poland,0.0011332065674093475
