eez,dist_km,area_km2,ais_fishing,dark_fishing,ISO_TER1,GEONAME,SOVEREIGN1,fishing_per_km2
8481,10,14367.69506,0.077693525,31.65746593,BGD,Bangladeshi Exclusive Economic Zone,Bangladesh,0.002208786
8481,15,17110.22692,0.082547894,43.09554045,BGD,Bangladeshi Exclusive Economic Zone,Bangladesh,0.002523525
8481,20,19745.13601,0.085004897,55.04542468,BGD,Bangladeshi Exclusive Economic Zone,Bangladesh,0.002792102
8481,25,22350.08275,0.085004897,70.21569744,BGD,Bangladeshi Exclusive Economic Zone,Bangladesh,0.003145434
8418,5,645.4034574,0,0.043797255,BRB,Barbados Exclusive Economic Zone,Barbados,6.79E-05
8418,10,1335.192661,0,0.093820594,BRB,Barbados Exclusive Economic Zone,Barbados,7.03E-05
8418,15,2192.909945,0,0.149308269,BRB,Barbados Exclusive Economic Zone,Barbados,6.81E-05
8418,20,3192.195165,0.003731343,0.180511674,BRB,Barbados Exclusive Economic Zone,Barbados,5.77E-05
8418,25,4352.20061,0.003731343,0.227682829,BRB,Barbados Exclusive Economic Zone,Barbados,5.32E-05
3293,5,423.2841212,1.778299913,0.458894022,BEL,Belgian Exclusive Economic Zone,Belgium,0.005285324
3293,10,752.2192378,3.798459955,0.776470105,BEL,Belgian Exclusive Economic Zone,Belgium,0.00608191
3293,15,1073.179161,4.852082297,0.975214753,BEL,Belgian Exclusive Economic Zone,Belgium,0.005429939
3293,20,1377.774044,5.460536176,1.310823887,BEL,Belgian Exclusive Economic Zone,Belgium,0.00491471
3293,25,1669.840047,5.973486395,1.627657844,BEL,Belgian Exclusive Economic Zone,Belgium,0.004552019
8457,5,7391.014492,0,1.374734538,BLZ,Belizean Exclusive Economic Zone,Belize,0.000186001
8457,10,11382.55345,0,1.501908737,BLZ,Belizean Exclusive Economic Zone,Belize,0.000131948
8457,15,14484.41379,0,1.547700685,BLZ,Belizean Exclusive Economic Zone,Belize,0.000106853
8457,20,16909.19612,0,1.60627056,BLZ,Belizean Exclusive Economic Zone,Belize,9.50E-05
8457,25,19236.50136,0,1.646107062,BLZ,Belizean Exclusive Economic Zone,Belize,8.56E-05
8393,5,761.7467151,0.007246377,0.732512329,BEN,Beninese Exclusive Economic Zone,Benin,0.000971135
8393,10,1353.321084,0.02057971,1.579442648,BEN,Beninese Exclusive Economic Zone,Benin,0.001182293
8393,15,1957.19356,0.02057971,2.180682884,BEN,Beninese Exclusive Economic Zone,Benin,0.001124704
8393,20,2542.743028,0.02057971,2.282545648,BEN,Beninese Exclusive Economic Zone,Benin,0.000905764
8393,25,3140.591491,0.02057971,2.438137221,BEN,Beninese Exclusive Economic Zone,Benin,0.000782883
26520,5,710.5653176,0,0.019814544,BES,Bonaire Exclusive Economic Zone,Netherlands,2.79E-05
26520,10,1412.70179,0,0.027940809,BES,Bonaire Exclusive Economic Zone,Netherlands,1.98E-05
26520,15,2262.973465,0.002427184,0.037110503,BES,Bonaire Exclusive Economic Zone,Netherlands,1.75E-05
26520,20,3299.920607,0.002427184,0.04876048,BES,Bonaire Exclusive Economic Zone,Netherlands,1.55E-05
26520,25,4217.552578,0.002427184,0.062537372,BES,Bonaire Exclusive Economic Zone,Netherlands,1.54E-05
8464,5,90479.49266,2.037746456,18.46849086,BRA,Brazilian Exclusive Economic Zone,Brazil,0.00022664
8464,10,131713.8566,5.270569693,36.19549351,BRA,Brazilian Exclusive Economic Zone,Brazil,0.000314819
8464,15,169981.0723,8.984666964,51.4740686,BRA,Brazilian Exclusive Economic Zone,Brazil,0.000355679
8464,20,206703.8308,12.99783943,65.66473772,BRA,Brazilian Exclusive Economic Zone,Brazil,0.000380557
